名詞,判定,TF-IDF値,出現回数,重み,連結回数
com,0,0.3192582794,1,3.6,0
etrobo,0,0.3192582794,1,7.2,1
etrobocon,0,0.3192582794,1,10.8,0
github,0,0.3192582794,1,7.2,0
https,0,0.3192582794,1,6,0
lコース,1,0.3201830099,1,4.6,1
lコースrコース,0,0.3274906958,1,9.2,0
no,0,0.3982766248,1,2.4,1
uml2,0,0.4419911464,2,4.6,0
uml2,0,0.4419911464,2,4.6,0
wg,0,0.5,1,2.4,0
アクティビティ,0,0.5521612634,1,8.4,1
アクティビティ図,0,0.4768360411,1,10.4,0
アドバンストクラス,1,0.509604373,2,10.8,0
アドバンストクラス,1,0.4868508587,2,10.8,0
あり,0,0.3096252615,1,2.2,0
ある,0,0.4371022812,3,2.2,0
ある,0,0.3194999672,3,2.2,0
ある,0,0.3015955189,3,2.2,0
いずれ,0,0.3809429877,3,3.3,0
いずれ,0,0.3364262607,3,3.3,0
いずれ,0,0.3360917268,3,3.3,0
いたし,0,0.5,1,3.3,0
いる,0,0.4759397904,4,2.2,2
いる,0,0.4753457695,4,2.2,2
いる,0,0.4717911343,4,2.2,2
いる,0,0.3047633754,4,2.2,2
うち1,0,0.3873021386,1,3.2,0
エリア,1,0.4259122171,1,3.6,5
エントリークラス,1,0.4938913985,2,9.4,1
エントリークラス,1,0.3263432481,2,9.4,1
および6,0,0.4043517653,1,4.3,0
および構成要素,0,0.4641967387,1,11.3,0
および黒線,0,0.3736880839,1,7.3,0
および数字カード,0,0.3252149638,1,10.7,0
および提出方法,0,0.5201987116,1,11.3,0
カラーブロック,1,0.5448706518,3,8.2,0
カラーブロック,1,0.5057254531,3,8.2,0
カラーブロック,1,0.3620454136,3,8.2,0
ガレージ,1,0.4660378052,2,4.6,5
ガレージ,1,0.4264682372,2,4.6,5
ガレージ停止,1,0.5501877028,2,8.6,1
ガレージ停止,1,0.303092964,2,8.6,1
クラス,1,0.3985007717,1,3.6,12
クラス共通,0,0.5078177944,1,7.6,1
クラス別,0,0.4781582821,1,5.6,0
ケース,0,0.4522418433,1,3.4,0
ゲートライン,0,0.6289502212,1,7,1
ゲートライン例,0,0.5212116316,1,9,0
コース,1,0.3641057513,4,3.4,13
コース,1,0.3594126447,4,3.4,13
コース,1,0.3528790337,4,3.4,13
コース,1,0.3454094476,4,3.4,13
コース以外,0,0.3589322526,1,7.4,0
コース画像,0,0.3788960532,1,7.4,0
コース上,0,0.4100116176,4,5.4,0
コース上,0,0.4034981026,4,5.4,0
コース上,0,0.4034981026,4,5.4,0
コース上,0,0.3397090504,4,5.4,0
ゴール,1,0.4323075494,1,3.4,3
ゴールゲート,1,0.4814176337,2,6.8,1
ゴールゲート,1,0.3144751106,2,6.8,1
ここ,0,0.4522418433,1,2.2,0
こと,0,0.3612855715,2,2.2,0
こと,0,0.3539759797,2,2.2,0
