名詞,判定,TF-IDF値,出現回数,重み,連結回数
ボーナスブロック,1,0.7553695544,1,9.4,0
走行タイム,1,0.7092608304,3,7.6,1
通過方向,0,0.7071067812,1,8,0
問わ,0,0.7071067812,1,3.1,0
通過,0,0.6765848162,3,4,1
青斜線,0,0.650406556,1,6,0
差異,0,0.6470497278,1,4,0
成立例,0,0.6323555892,1,6,0
スタート成立後,0,0.6242135459,1,10.6,0
交点サークル,1,0.6195357447,3,8.6,0
ゲートライン,1,0.6170406401,1,7,1
初期設置,1,0.6137573917,1,8,2
成立,0,0.6089324647,4,4,4
ボーナス,1,0.5988907503,1,4.6,6
ブロック搬入,0,0.5988907503,1,8.8,0
ただし以下,0,0.5966421231,2,7.3,0
交点サークル,1,0.5775091706,3,8.6,0
最大計測時間,1,0.5769946418,3,12,0
規約,0,0.5701535461,1,4,5
運営,0,0.5630083857,1,4,0
組織,0,0.5630083857,1,4,0
改版履歴,0,0.5628812049,1,8,0
開始,0,0.5597627896,1,4,0
両者,0,0.5584879481,1,4,0
アクティビティ,0,0.5509272218,1,8.4,1
計測方法,0,0.5497106886,1,8,0
正式,0,0.5462026334,1,4,1
算出,0,0.5449533844,1,4,0
自動判定,0,0.5449533844,1,8,0
時間,1,0.5424803057,1,4,6
カラーブロック,0,0.5317927693,3,8.2,0
環境,0,0.5302709335,1,4,6
行われる,0,0.529659347,1,5.3,0
下記,0,0.5257364429,2,4,0
ブロックサークル,1,0.5219682433,2,9.4,0
提出期限,0,0.5213340596,1,8,0
リザルトタイム,1,0.5205802626,4,8.4,2
共用,0,0.5201828387,1,4,0
全クラス,0,0.5201828387,1,5.6,1
用語,0,0.5169994493,1,4,1
対応,0,0.5166114269,1,4,0
スタートライン,1,0.5159999219,2,8.2,2
ボーナスサークル,1,0.5149796388,1,9.2,0
総称,0,0.5149796388,1,4,0
ソフトウェア,0,0.5147639075,1,7.2,3
ゲートライン例,0,0.5141506082,1,9,0
スタート位置,0,0.5109568329,1,8.6,0
一覧,0,0.5101062799,1,4,2
すべて,0,0.5080079215,2,3.3,0
いる,0,0.5050996111,4,2.2,2
ブロックサークル,1,0.5044801476,2,9.4,0
スタート,1,0.5036096001,1,4.6,11
もっ,0,0.5036096001,1,2.2,0
いる,0,0.5016924695,4,2.2,2
示す,0,0.4975106834,6,3.1,0
正式名称,0,0.4955453697,1,8,0
開発,0,0.4955331295,1,4,1
クラス共通,0,0.4949815172,1,7.6,1
通過,0,0.4940621671,3,4,1
カラーブロック,0,0.4923306144,3,8.2,0
参照,0,0.4901580487,6,4,1
アドバンストクラス,1,0.488396894,2,10.8,0
別途提示,0,0.4807201778,1,8,0
構築方法,0,0.4804319192,1,8,0
実施,0,0.4775561933,2,4,0
結果,0,0.4750582341,2,4,0
ある,0,0.4747049892,3,2.2,0
呼ぶ,0,0.4732824225,4,3.1,0
され,0,0.4729549356,1,2.2,1
関連,0,0.4727433329,1,4,4
文書,0,0.4727433329,1,4,3
緑色,1,0.4726664063,2,4,0
アドバンストクラス,1,0.4703670844,2,10.8,0
走行タイム,1,0.4703165751,3,7.6,1
アクティビティ図,0,0.4699704723,1,10.4,0
ステートマシン図,0,0.4699704723,1,10.2,0
略称,0,0.4698848837,1,4,0
クラス別,0,0.4691535231,1,5.6,0
規定,0,0.4661212871,1,4,0
向き,0,0.4661212871,1,3.1,0
得る,0,0.4659795398,1,3.1,0
詳細,0,0.46186588,1,4,0
名称,0,0.4614156753,1,4,1
構成,0,0.4609999758,2,4,1
用いる,0,0.4596508548,2,4.2,0
一致,0,0.4582882294,1,4,0
これら,0,0.4569292371,1,3.3,0
用い,0,0.4569292371,2,3.1,4
形状,0,0.4565912129,2,4,0
競技内容,0,0.4564205974,2,8,0
ボーナスタイム例,0,0.4542386983,1,10.2,0
禁止,0,0.4542386983,1,4,0
行為,0,0.4542386983,1,4,0
設置,0,0.4535752035,2,4,3
ゴールゲート,1,0.4528781092,2,6.8,1
もう一方,0,0.4520699559,1,6.2,0
部分,0,0.4502873849,2,4,3
配布,0,0.4500431775,3,4,0
構成,0,0.4498049035,2,4,1
その時間帯,0,0.4488598266,1,8.2,0
多く,0,0.4488598266,1,3.1,0
使用,0,0.4481468317,2,4,0
走行体,1,0.4474959495,2,6,5
提出,0,0.4462090135,1,4,2
マイナス,0,0.4454411121,1,4.8,0
起き,0,0.4448504159,1,3.1,0
本規約,0,0.4440676161,4,6,0
具体的,0,0.4435882134,1,6,0
操作方法,0,0.4435882134,1,8,0
対象,0,0.4434145927,1,4,0
読者,0,0.4434145927,1,4,0
下記,0,0.4430044678,2,4,0
公開,0,0.4430044678,2,4,0
設けられ,0,0.442908955,1,5.3,0
最大計測時間,1,0.4393860165,3,12,0
ブロック,1,0.4391069977,3,4.8,13
除い,0,0.4342067397,1,3.1,0
数字部分,0,0.4342067397,1,8,0
判定方法,0,0.4342067397,1,8,0
通過,0,0.4336239805,3,4,1
no,0,0.433279086,1,2.4,1
競技内容,0,0.4326047011,2,8,0
用いる,0,0.4292215777,2,4.2,0
満たさ,0,0.426075689,1,4.2,0
説明,0,0.4258847928,1,4,1
形状,0,0.4254696608,2,4,0
数字カード置き場,1,0.4253493385,1,12.5,0
ボーナスタイム獲得,1,0.4247772253,1,12.2,0
本章,0,0.4232956226,2,4,0
スタートエリア,1,0.4210024313,3,8.2,0
スタートライン,1,0.4210024313,2,8.2,2
ただし以下,0,0.4206084837,2,7.3,0
含まれる,0,0.4206084837,2,5.3,0
エリア,1,0.4206084837,1,3.6,3
ボーナスタイム,1,0.4203016189,2,8.2,2
全クラス共通,0,0.4187313925,1,9.6,0
ブロック,1,0.4177293269,3,4.8,13
順番,0,0.4153144229,1,4,0
走行順,0,0.4153144229,1,6,0
確定,0,0.4144955549,1,4,1
獲得,0,0.4138919599,1,4,2
成立,0,0.4136968206,4,4,4
タイム,1,0.4107395761,2,3.6,14
計算,0,0.4107395761,2,4,0
する,0,0.4093130635,3,2.2,0
走行体ソフトウェア,0,0.4082940845,2,13.2,0
本規約,0,0.4078706323,4,6,0
コース上,0,0.4075645141,3,5.4,0
スタート準備走行,0,0.4069849276,1,12.6,0
準備,0,0.4069849276,1,4,2
コース上,0,0.4046703012,3,5.4,0
実行委員会,0,0.4041851648,3,10,0
競技環境,0,0.403648297,3,8,0
動作環境,0,0.3999030792,1,8,0
走行タイム,1,0.3998971759,3,7.6,1
リザルトタイム,1,0.3998024871,4,8.4,2
呼ぶ,0,0.3970933835,4,3.1,0
全景,0,0.3967384172,1,4,1
置い,0,0.3967384172,1,3.1,0
置かれ,0,0.3966904027,1,4.2,0
タイム,1,0.395841311,2,3.6,14
計算,0,0.395841311,2,4,0
試走会,0,0.3956399732,2,6,1
照明,0,0.3956399732,2,4,1
通知,0,0.3956399732,1,4,0
緑色,1,0.395395776,2,4,0
装飾品,0,0.395395776,1,6,0
随時更新,0,0.3938447934,1,8,0
全部,0,0.3938447934,1,4,0
大会当日,0,0.3938447934,1,8,0
右上,0,0.3935888185,1,4,0
左上,0,0.3935888185,1,4,0
なら,0,0.3928827921,1,2.2,0
最大計測時間,1,0.389649277,3,12,0
これ,0,0.3895197762,1,2.2,2
よう注意,0,0.3895197762,1,6.2,0
使用,0,0.3890818636,2,4,0
記載,0,0.3890307761,6,4,0
