名詞,判定,TF-IDF値,出現回数
項目,0,0.4824740625,3
項目,0,0.4228725079,3
項目,0,0.3402418602,3
関する,0,0.3587785734,1
開催年度,1,0.3481984961,2
開催年度,1,0.3072633182,2
開催,0,0.4396869913,2
開催,0,0.3045081144,2
部署名,1,0.3777163362,1
連絡先電話番号,1,0.4158045122,3
連絡先電話番号,1,0.353329203,3
連絡先電話番号,1,0.3083175671,3
連絡先メールアドレス,1,0.4158045122,3
連絡先メールアドレス,1,0.353329203,3
連絡先メールアドレス,1,0.3083175671,3
識別番号,1,0.4506533716,2
識別番号,1,0.3727971378,2
評定情報,1,0.3587785734,1
複数,0,0.3670174737,1
行っ,0,0.3013305954,1
行う,0,0.4495329197,1
職階,0,0.3777163362,1
確認,0,0.3696934369,3
確認,0,0.3267941755,3
確認,0,0.3116079801,3
登録情報,1,0.4328595781,1
登録,0,0.3815086909,2
登録,0,0.3211670205,2
発行,0,0.4121502126,3
発行,0,0.3638559831,3
発行,0,0.3409459005,3
氏名,1,0.4158045122,3
氏名,1,0.353329203,3
氏名,1,0.3083175671,3
毎,0,0.4176889354,1
次,0,0.3165544387,1
機能,0,0.4248830929,1
本学,0,0.3411766273,1
本システム,0,0.5026016408,1
教員,1,0.3086453428,1
提供,0,0.5203188476,3
提供,0,0.4096864339,3
提供,0,0.360884299,3
指定,0,0.4012186381,2
指定,0,0.3202182627,2
担当者情報,1,0.5019021791,1
担当者名,1,0.3777163362,1
担当者id,1,0.3978474851,2
担当者id,1,0.3916502851,2
担当者,1,0.4457558164,1
情報,0,0.618077666,3
情報,0,0.4102573817,3
情報,0,0.3083175671,3
後,0,0.3822848423,4
後,0,0.3374901258,4
後,0,0.3216869937,4
後,0,0.3162401615,4
当該年度,1,0.3587785734,1
年度別一覧,1,0.4421152401,1
年度,1,0.3233258778,2
年度,1,0.3202182627,2
希望,0,0.3411766273,1
対する,0,0.3165544387,1
実装,0,0.4065560917,1
実施開始日,1,0.3442636095,1
実施終了日,1,0.3442636095,1
実施日数,1,0.3442636095,1
学籍番号,1,0.3610562018,2
学籍番号,1,0.3068069159,2
学生順,0,0.457064104,1
学生氏名,1,0.3184489305,1
学生情報,1,0.3975351563,2
学生情報,1,0.3628608146,2
学生id,1,0.3610562018,1
学生,1,0.3812042889,3
学生,1,0.3696934369,3
学生,1,0.3179131227,3
固有,0,0.4506533716,2
固有,0,0.3727971378,2
固定値,1,0.4321219742,1
向け,0,0.3411766273,1
同一,0,0.3670174737,1
同,0,0.3622604038,1
可能,0,0.4248830929,1
参加決定者,1,0.3592473415,1
参加決定,0,0.3013305954,1
参加学生,1,0.3587785734,1
参加,0,0.3411766273,1
削除,0,0.4065560917,1
利用,0,0.5026016408,1
修正,0,0.4065560917,1
使用,0,0.4248830929,1
企業順,0,0.457064104,1
企業担当者連絡先電話番号,1,0.3622604038,1
企業担当者名,1,0.3622604038,1
企業担当者id,1,0.3622604038,1
企業担当者,1,0.4421152401,1
企業名,1,0.4789554304,2
企業名,1,0.4569066464,2
企業id,1,0.5896243693,3
企業id,1,0.4121502126,3
企業id,1,0.3083175671,3
企業,1,0.451809303,4
企業,1,0.3661911699,4
企業,1,0.355743681,4
企業,1,0.3133672446,4
以下,0,0.4248830929,1
今回,0,0.3527271209,2
今回,0,0.3318585221,2
予定実施日数,1,0.4388123568,1
予定実施日,1,0.4388123568,1
予定,0,0.4396869913,2
予定,0,0.3045081144,2
一覧項目,0,0.3901281539,1
一覧,0,0.3497563396,1
ログインid,1,0.4457558164,1
ユーザ認証,0,0.4012186381,2
ユーザ認証,0,0.3792180915,2
ユーザid,1,0.4012186381,2
ユーザid,1,0.3856789623,2
メールアドレス,1,0.3622604038,1
パスワード,1,0.3403498419,4
パスワード,1,0.3374901258,4
パスワード,1,0.3271676871,4
パスワード,1,0.3162401615,4
ソート,0,0.5121032317,1
エントリ登録,0,0.3275716738,1
エントリ,0,0.3206366493,2
エントリ,0,0.3045081144,2
インターンシップ情報,1,0.4926335872,1
インターンシップ名,1,0.3322331017,1
インターンシップエントリ情報,1,0.584463222,1
インターンシップid,1,0.3322331017,1
インターンシップ,0,0.4032010075,2
インターンシップ,0,0.3174706887,2
を,0,0.3013305954,1
よる,0,0.3670174737,1
もの,0,0.4065560917,1
も,0,0.3670174737,1
また,0,0.4180132215,1
は,0,0.353329203,1
なる,0,0.3592473415,1
なお,0,0.4328595781,1
できる,0,0.3086453428,1
た,0,0.5378891992,2
た,0,0.3206366493,2
する,0,0.4409379215,1
すべて,0,0.3592473415,1
すでに,0,0.4454058773,1
され,0,0.4217181149,3
され,0,0.3669391098,3
され,0,0.3635703392,3
こと,0,0.340348695,2
こと,0,0.3008546001,2
および,0,0.3165544387,1
いる,0,0.4611151093,2
いる,0,0.3975351563,2
password,1,0.4321219742,1
5段階評価,0,0.3165544387,1
11111111,1,0.4321219742,1
