名詞,判定,TF-IDF値,出現回数,重み,連結回数
lコース,1,0.3201830099,1,5.1,2
アドバンストクラス,1,0.509604373,2,11.3,4
アドバンストクラス,1,0.4868508587,2,11.3,4
エリア,1,0.4259122171,1,4.1,6
エントリークラス,1,0.4938913985,2,9.9,2
エントリークラス,1,0.3263432481,2,9.9,2
カラーブロック,1,0.5448706518,3,8.7,1
カラーブロック,1,0.5057254531,3,8.7,1
カラーブロック,1,0.3620454136,3,8.7,1
ガレージ,1,0.4660378052,2,5.1,6
ガレージ,1,0.4264682372,2,5.1,6
ガレージ停止,1,0.5501877028,2,9.1,2
ガレージ停止,1,0.303092964,2,9.1,2
クラス共通,1,0.5078177944,1,8.1,1
クラス別,1,0.4781582821,1,6.1,0
ケース,1,0.4522418433,1,3.9,0
コース,1,0.3641057513,4,3.9,14
コース,1,0.3594126447,4,3.9,14
コース,1,0.3528790337,4,3.9,14
コース,1,0.3454094476,4,3.9,14
ゴール,1,0.4323075494,1,3.9,3
ゴールゲート,1,0.4814176337,2,7.3,1
ゴールゲート,1,0.3144751106,2,7.3,1
シングルビンゴ,1,0.3512391842,1,8.9,1
スタート,1,0.4545372504,1,5.1,13
スタートエリア,1,0.3912808697,5,8.7,0
スタートエリア,1,0.3298199157,5,8.7,0
スタートエリア,1,0.3288523182,5,8.7,0
スタートエリア,1,0.3020845791,5,8.7,0
スタートエリア,1,0.3019000523,5,8.7,0
スタートライン,1,0.5560087346,2,8.7,2
スタートライン,1,0.4481453527,2,8.7,2
スタート位置,1,0.4975643626,1,9.1,0
タイム,1,0.421874286,2,4.1,19
タイム,1,0.4045170863,2,4.1,19
トリプルビンゴ,1,0.3512391842,1,8.9,1
ナンバー黒ブロック,1,0.3499468198,4,11.9,1
ナンバー黒ブロック,1,0.3369069745,4,11.9,1
ナンバー黒ブロック,1,0.3364262607,4,11.9,1
ナンバー黒ブロック,1,0.3116380119,4,11.9,1
ビンゴ,1,0.3255723064,1,4.1,11
