単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度
項目,0,0.30102293951554143,13,1.0,3,0
開催年度,1,0.3785857059955122,3,2.0,0,0
開催予定,0,0.4052268415842469,3,2.0,0,0
部署名,1,0.38890859999022004,1,1.5,0,0
選択式,0,0.22824292352029638,1,1.5,0,0
連絡先電話番号,1,0.3979300087413648,4,3.5,1,0
連絡先メールアドレス,1,0.3979300087413648,4,4.7,0,0
通り,0,0.22824292352029638,1,0.6,0,0
識別番号,1,0.3743441882173821,3,2.0,0,0
詳細情報,0,0.4824479581068789,2,2.0,0,0
評定項目値,1,0.4262630026535185,1,2.5,0,0
評定項目,1,0.2980163173808827,1,2.0,1,0
評定閲覧,1,0.38373698863781563,1,2.0,0,0
評定書,1,0.24139128616808062,3,1.5,1,0
評定情報,0,0.45403243348641553,2,2.0,1,0
複数企業,0,0.579026706156607,1,2.0,0,0
自身,0,0.4295095474843318,1,1.0,0,0
自社企業,0,0.4206333570797176,2,2.0,0,0.5
自由記述,0,0.2391967918426312,4,2.0,0,0
自己評価入力,1,0.29091371549246897,1,3.0,0,0
自己評価,0,0.27979046702770527,2,2.0,1,0
自分,0,0.3290218034945666,1,1.0,0,0
職階,1,0.38890859999022004,1,1.0,0,0
総合評価,1,0.24497527653730233,2,2.0,0,0
確定フラグ,1,0.4262630026535185,1,2.5,0,0
目標,0,0.3378898406700041,3,1.0,0,0
注意事項,1,0.4148885408733919,1,2.0,0,0
氏名,1,0.41307744169710814,3,1.0,6,0
次,0,0.39950157001918274,1,0.5,0,0
欄,0,0.4869279657743636,2,0.5,0,0
本学向け,0,0.3344247284525142,1,1.6,0,0
最初,0,0.22824292352029638,1,1.0,0,0
教員,2,0.26425608732319045,15,1.0,0,0
担当者情報,1,0.5539672209719944,1,2.5,0,0
担当者名,1,0.38890859999022004,1,2.0,1,0
担当者id,1,0.3606780018571903,4,2.3,1,0.3333333333333333
担当者,1,0.48726548264263453,1,1.5,22,0
担当年度,1,0.5107370118650769,1,2.0,0,0
情報,0,0.4301844962641761,5,1.0,15,0
当該年度,0,0.38373698863781563,1,2.0,0,0
当該学生,0,0.2980163173808827,1,2.0,0,0
当該インターンシップ参加学生,0,0.6133592250693843,1,6.7,0,0
当該インターンシップ,0,0.46821743877874455,2,4.7,1,0
年度別一覧,1,0.5291549600409159,1,2.5,0,0
年度,0,0.3639329986107921,2,1.0,6,0
実施開始日,1,0.330536602152414,4,2.5,0,0
実施終了日,1,0.36813359400105194,3,2.5,0,0
実施日数,1,0.330536602152414,4,2.0,3,0
