判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度,Scored Probabilities for Class "0",Scored Probabilities for Class "1",Scored Probabilities for Class "2",Scored Labels
0,0.477825953345794,13,1,3,0,0.267670601606369,0.31988537311554,0.412444055080414,2
0,0.456611101620947,13,1,3,0,0.267738372087479,0.319855749607086,0.412405848503113,2
0,0.440743760683143,13,1,3,0,0.26778906583786,0.31983357667923,0.412377297878265,2
0,0.306650770930664,13,1,3,0,0.268217861652374,0.319646328687668,0.41213583946228,2
0,0.303812225873642,13,1,3,0,0.26822692155838,0.31964236497879,0.412130743265152,2
0,0.290500994769454,13,1,3,0,0.268269538879395,0.31962376832962,0.41210675239563,2
0,0.2808426877778,13,1,3,0,0.268300414085388,0.319610238075256,0.412089318037033,2
0,0.261446901165354,13,1,3,0,0.268362492322922,0.319583147764206,0.412054389715195,2
0,0.250006822679954,13,1,3,0,0.268399119377136,0.319567143917084,0.412033766508102,2
0,0.243599066722729,13,1,3,0,0.268419623374939,0.319558173418045,0.412022173404694,2
0,0.237444115735113,13,1,3,0,0.268439322710037,0.319549590349197,0.412011116743088,2
0,0.233378464245016,13,1,3,0,0.268452316522598,0.319543927907944,0.412003815174103,2
0,0.130435348152429,13,1,3,0,0.268781989812851,0.319399923086166,0.411818146705627,2
0,0.416419817726859,3,2,0,0,0.445022404193878,0.49353301525116,0.0614445917308331,1
0,0.373295114467842,3,2,0,0,0.445196002721787,0.493378579616547,0.0614253766834736,1
0,0.346042185791835,3,2,0,0,0.445305705070496,0.493281006813049,0.0614132210612297,1
0,0.580299563109232,3,2,0,0,0.444362819194794,0.494119554758072,0.0615176185965538,1
0,0.352003939434328,3,2,0,0,0.445281714200974,0.493302375078201,0.0614158846437931,1
0,0.28337702220918,3,2,0,0,0.445558041334152,0.493056684732437,0.0613852888345718,1
0,0.38890859999022,1,1.5,0,0,0.506002485752106,0.456803977489471,0.037193588912487,0
0,0.228242923520296,1,1.5,0,0,0.506657004356384,0.456198662519455,0.0371443033218384,0
0,0.428614670815706,4,3.5,1,0,0.333484828472137,0.570241153240204,0.0962740778923035,1
0,0.428318441465644,4,3.5,1,0,0.333485871553421,0.570240199565887,0.0962738990783691,1
0,0.424353666842174,4,3.5,1,0,0.333500266075134,0.570227921009064,0.0962718352675438,1
0,0.310433255841935,4,3.5,1,0,0.333913117647171,0.56987464427948,0.0962121933698654,1
0,0.428614670815706,4,4.7,0,0,0.267170637845993,0.633257448673248,0.0995719507336617,1
0,0.428318441465644,4,4.7,0,0,0.267171591520309,0.633256614208221,0.0995718091726303,1
0,0.424353666842174,4,4.7,0,0,0.267184227705002,0.633245646953583,0.0995701029896736,1
0,0.310433255841935,4,4.7,0,0,0.267547965049744,0.632931411266327,0.0995206907391548,1
0,0.228242923520296,1,0.6,0,0,0.566709637641907,0.400900840759277,0.0323895551264286,0
